cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
IOCE1032143A,59089,Bollezeele,59.0,Sécheresse,2009-06-01,2009-09-30,2010-12-13,2011-01-13,2022-05-24
IOME2308745A,59089,Bollezeele,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
IOME2332866A,59089,Bollezeele,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-29,2023-12-11,
IOME2333648A,59089,Bollezeele,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
INTE1616446A,59090,Bondues,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE2112080A,59090,Bondues,59.0,Sécheresse,2020-04-01,2020-06-30,2021-04-20,2021-05-07,2022-05-24
IOME2308745A,59090,Bondues,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE1236505A,59091,Borre,54.0,Inondations et/ou coulées de boue,2012-03-05,2012-03-06,2012-10-18,2012-10-21,2022-05-24
INTE2023940A,59091,Borre,59.0,Sécheresse,2019-07-01,2019-09-30,2020-09-15,2020-10-25,2022-05-24
IOME2308745A,59091,Borre,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE1824834A,59092,Bouchain,59.0,Sécheresse,2017-04-01,2017-06-30,2018-09-18,2018-10-20,2022-05-24
INTE2137451A,59092,Bouchain,59.0,Sécheresse,2020-04-01,2020-06-30,2021-12-21,2022-01-14,2022-05-24
IOME2330533A,59094,Bourbourg,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-13,2023-11-14,
IOME2333648A,59094,Bourbourg,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
INTE1616446A,59096,Bourghelles,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE2023940A,59096,Bourghelles,59.0,Sécheresse,2019-07-01,2019-09-30,2020-09-15,2020-10-25,2022-05-24
INTE2112080A,59096,Bourghelles,59.0,Sécheresse,2020-04-01,2020-09-30,2021-04-20,2021-05-07,2022-05-24
IOME2308745A,59096,Bourghelles,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE1425669A,59097,Boursies,54.0,Inondations et/ou coulées de boue,2014-08-12,2014-08-12,2014-11-04,2014-11-07,2022-05-24
IOCE1132263A,59097,Boursies,54.0,Inondations et/ou coulées de boue,2011-04-30,2011-04-30,2011-11-28,2011-12-01,2022-05-24
INTE0600133A,59098,Bousbecque,54.0,Inondations et/ou coulées de boue,2005-09-10,2005-09-10,2006-03-02,2006-03-11,2022-05-24
INTE2118485A,59098,Bousbecque,59.0,Sécheresse,2020-04-01,2020-06-30,2021-06-22,2021-07-09,2022-05-24
IOME2308745A,59098,Bousbecque,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE0200208A,59101,Bousignies-sur-roc,54.0,Inondations et/ou coulées de boue,2002-01-27,2002-01-27,2002-04-30,2002-05-05,2022-05-24
INTE0200389A,59101,Bousignies-sur-roc,54.0,Inondations et/ou coulées de boue,2002-02-13,2002-02-13,2002-08-01,2002-08-22,2022-05-24
INTE1630434A,59101,Bousignies-sur-roc,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE2127287A,59101,Bousignies-sur-roc,54.0,Inondations et/ou coulées de boue,2021-07-15,2021-07-16,2021-09-13,2021-09-28,2022-05-24
IOCE0820715A,59103,Boussières-sur-sambre,54.0,Inondations et/ou coulées de boue,2008-08-03,2008-08-03,2008-08-26,2008-08-27,2022-05-24
INTE1306489A,59104,Boussois,59.0,Sécheresse,2011-05-23,2011-06-30,2013-03-11,2013-03-14,2022-05-24
INTE1630434A,59104,Boussois,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE1901606A,59104,Boussois,59.0,Sécheresse,2017-07-01,2017-12-31,2019-01-24,2019-02-14,2022-05-24
INTE1920338A,59104,Boussois,59.0,Sécheresse,2018-10-01,2018-12-31,2019-07-16,2019-08-09,2022-05-24
