cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE9500219A,59084,Blaringhem,59.0,Sécheresse,1993-01-01,1993-09-30,1995-05-03,1995-05-07,2022-05-20
INTE9600137A,59084,Blaringhem,59.0,Sécheresse,1993-10-01,1994-12-31,1996-04-03,1996-04-17,2022-05-20
INTE9700395A,59084,Blaringhem,59.0,Sécheresse,1995-01-01,1996-12-31,1997-09-19,1997-10-11,2022-05-20
INTE9900161A,59084,Blaringhem,59.0,Sécheresse,1997-01-01,1997-12-31,1999-04-16,1999-05-02,2022-05-23
IOME2308745A,59084,Blaringhem,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE1240955A,59086,Boeschepe,59.0,Sécheresse,2011-04-01,2011-06-30,2012-11-30,2012-12-06,2022-05-24
INTE2122515A,59086,Boeschepe,59.0,Sécheresse,2020-04-01,2020-06-30,2021-07-27,2021-08-31,2022-05-24
INTE9000196A,59086,Boeschepe,59.0,Sécheresse,1989-06-01,1989-12-31,1990-05-14,1990-05-24,2022-05-20
INTE9100177A,59086,Boeschepe,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9400127A,59086,Boeschepe,59.0,Sécheresse,1991-01-01,1992-12-31,1994-03-08,1994-03-24,2022-05-20
INTE9400127A,59086,Boeschepe,59.0,Sécheresse,1993-09-26,1993-09-28,1994-03-08,1994-03-24,2022-05-20
INTE9400127A,59086,Boeschepe,59.0,Sécheresse,1993-10-08,1993-10-08,1994-03-08,1994-03-24,2022-05-20
INTE9400642A,59086,Boeschepe,59.0,Sécheresse,1993-01-01,1993-09-30,1995-01-12,1995-01-31,2022-05-20
INTE9600301A,59086,Boeschepe,59.0,Sécheresse,1993-10-01,1995-09-30,1996-07-17,1996-09-04,2022-05-20
IOME2308745A,59086,Boeschepe,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE1630464A,59087,Boëseghem,59.0,Sécheresse,2015-04-01,2015-09-30,2016-10-26,2016-12-16,2022-05-24
INTE2112080A,59087,Boëseghem,59.0,Sécheresse,2020-04-01,2020-06-30,2021-04-20,2021-05-07,2022-05-24
INTE9100177A,59087,Boëseghem,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9800288A,59088,Bois-grenier,59.0,Sécheresse,1995-01-01,1997-12-31,1998-07-15,1998-07-29,2022-05-20
IOME2316198A,59088,Bois-grenier,59.0,Sécheresse,2022-03-31,2022-09-29,2023-07-21,2023-09-13,
INTE1630464A,59089,Bollezeele,59.0,Sécheresse,2015-04-01,2015-09-30,2016-10-26,2016-12-16,2022-05-24
INTE1920338A,59089,Bollezeele,59.0,Sécheresse,2018-10-01,2018-12-31,2019-07-16,2019-08-09,2022-05-24
INTE9000072A,59089,Bollezeele,59.0,Sécheresse,1989-06-01,1989-12-19,1990-02-14,1990-02-28,2022-05-20
INTE9100177A,59089,Bollezeele,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300001A,59089,Bollezeele,59.0,Sécheresse,1991-01-01,1991-12-31,1993-01-25,1993-02-07,2022-05-20
INTE9400127A,59089,Bollezeele,59.0,Sécheresse,1992-01-01,1992-12-31,1994-03-08,1994-03-24,2022-05-20
INTE9400642A,59089,Bollezeele,59.0,Sécheresse,1993-01-01,1993-09-30,1995-01-12,1995-01-31,2022-05-20
INTE9800027A,59089,Bollezeele,59.0,Sécheresse,1994-01-01,1997-06-30,1998-02-02,1998-02-18,2022-05-20
IOCE1032143A,59089,Bollezeele,59.0,Sécheresse,2009-06-01,2009-09-30,2010-12-13,2011-01-13,2022-05-24
IOME2308745A,59089,Bollezeele,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE2112080A,59090,Bondues,59.0,Sécheresse,2020-04-01,2020-06-30,2021-04-20,2021-05-07,2022-05-24
INTE9000289A,59090,Bondues,59.0,Sécheresse,1989-06-01,1989-12-31,1990-07-24,1990-08-15,2022-05-20
INTE9100354A,59090,Bondues,59.0,Sécheresse,1990-01-01,1990-12-31,1991-08-12,1991-08-30,2022-05-20
INTE9700395A,59090,Bondues,59.0,Sécheresse,1991-01-01,1996-12-31,1997-09-19,1997-10-11,2022-05-20
INTE9900087A,59090,Bondues,59.0,Sécheresse,1997-01-01,1998-06-30,1999-02-23,1999-03-10,2022-05-23
IOME2308745A,59090,Bondues,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE2023940A,59091,Borre,59.0,Sécheresse,2019-07-01,2019-09-30,2020-09-15,2020-10-25,2022-05-24
INTE9000100A,59091,Borre,59.0,Sécheresse,1989-06-01,1989-12-31,1990-03-09,1990-03-22,2022-05-20
INTE9100177A,59091,Borre,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9700395A,59091,Borre,59.0,Sécheresse,1991-01-01,1996-12-31,1997-09-19,1997-10-11,2022-05-20
IOME2308745A,59091,Borre,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE1824834A,59092,Bouchain,59.0,Sécheresse,2017-04-01,2017-06-30,2018-09-18,2018-10-20,2022-05-24
INTE2137451A,59092,Bouchain,59.0,Sécheresse,2020-04-01,2020-06-30,2021-12-21,2022-01-14,2022-05-24
